33.78	0.528026
33.691	0.448252
33.652	0.378781
33.534	0.318370
33.393	0.265998
33.336	0.220790
33.271	0.181972
33.246	0.148844
33.24	0.120762
33.234	0.140119
33.098	0.165920
33.035	0.138390
33.019	0.114506
33.014	0.093936
32.962	0.076355
32.95	0.061457
32.92	0.048944
32.81	0.138067
32.761	0.111457
32.748	0.088943
32.715	0.070096
32.705	0.054503
32.698	0.041763
32.598	0.114289
32.588	0.267762
32.585	0.216046
32.581	0.453436
32.547	0.575253
32.514	0.874039
32.503	0.813511
32.473	0.731541
32.408	0.969881
32.34	0.914564
32.328	0.975728
32.328	0.781559
32.318	0.891363
32.309	0.964452
32.243	0.994790
32.21	0.855132
32.172	0.558036
32.131	0.669424
32.122	0.798495
32.075	0.907749
32.02	0.576357
32.011	0.709786
31.824	0.839296
31.82	0.456072
31.815	0.327437
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
