33.604	0.659220
33.534	0.753643
33.336	0.964819
33.246	0.945568
33.234	0.942285
33.098	0.592503
33.035	0.699340
33.032	0.476501
33.021	0.384265
33.014	0.517137
32.962	0.338793
32.95	0.422343
32.92	0.515730
32.916	0.592975
32.81	0.683111
32.775	0.768913
32.748	0.845468
32.734	0.908106
32.722	0.953586
32.719	0.912631
32.715	0.768913
32.705	0.591657
32.698	0.855734
32.631	0.685089
32.588	0.922774
32.585	0.882142
32.547	0.949119
32.53	0.811177
32.514	0.657313
32.503	0.461115
32.408	0.730940
32.34	0.903117
32.328	0.797705
32.328	0.759182
32.21	0.753643
32.172	0.412144
